YEAR,PERCENT,SE,LOWER95,UPPER95
1997,21.7,1.9,17.9,25.5
1998,13.1,1.6,10,16.2
1999,16.9,1.8,13.5,20.4
2000,12.5,1.3,10.1,15
2001,17.1,1.5,14.2,20
2002,19.3,1.6,16.2,22.5
2003,12.2,1.7,8.9,15.5
2004,14,1.3,11.5,16.5
2005,10.2,1.1,8,12.4
2006,13.2,1.3,10.6,15.8
2007,10.7,1.1,8.5,12.9
2008,12.6,1.2,10.2,15
2009,8.6,1,6.5,10.6
2010,7.7,1,5.8,9.6
2011,5.6,0.8,3.9,7.2
2012,8.7,1,6.7,10.8
2013,7.6,1,5.8,9.5
2014,9,1.1,6.9,11
2015,7.6,1,5.7,9.6
2016,10.3,1.1,8.2,12.5
2017,5.7,0.8,4.1,7.4
2018,5.4,0.8,3.8,7
